event,time,long,lat,speed,height,stage,tag
1583651130,4/3/2012 16:00,-121.584,38.75817,0,30,preHatching,105936
1583639038,4/3/2012 17:00,-121.55717,38.60933,0,50,preHatching,105923
1583646878,4/3/2012 17:00,-121.60483,38.687,2.05776,30,preHatching,105930
1583639039,4/3/2012 18:00,-121.54533,38.62583,6.17328,80,preHatching,105923
1583646879,4/3/2012 18:00,-121.60783,38.68617,11.83212,90,preHatching,105930
1583651131,4/3/2012 18:00,-121.59267,38.75483,6.68772,100,preHatching,105936
1583639040,4/3/2012 19:00,-121.56783,38.6065,2.5722,140,preHatching,105923
1583646880,4/3/2012 19:00,-121.60283,38.68067,5.65884,30,preHatching,105930
1583639041,4/3/2012 20:00,-121.5435,38.7605,4.11552,80,preHatching,105923
1583646881,4/3/2012 20:00,-121.60867,38.68633,15.94764,330,preHatching,105930
1583651132,4/3/2012 20:00,-121.58,38.75783,0,30,preHatching,105936
1583639042,4/3/2012 21:00,-121.51433,38.78433,9.25992,270,preHatching,105923
1583646882,4/3/2012 21:00,-121.60717,38.68283,0.51444,150,preHatching,105930
1583639043,4/3/2012 22:00,-121.51683,38.76333,17.49096,60,preHatching,105923
1583646883,4/3/2012 22:00,-121.6025,38.6805,0,30,preHatching,105930
1583651133,4/3/2012 22:00,-121.59633,38.75483,0.51444,320,preHatching,105936
1583639044,4/3/2012 23:00,-121.54017,38.74983,5.1444,70,preHatching,105923
1583646884,4/3/2012 23:00,-121.6083256,38.68600717,0,70,preHatching,105930
1583639045,4/4/2012 0:00,-121.56267,38.63383,5.1444,30,preHatching,105923
1583646885,4/4/2012 0:00,-121.60467,38.6875,2.05776,40,preHatching,105930
1583651134,4/4/2012 0:00,-121.5945,38.75817,0,30,preHatching,105936
1583639046,4/4/2012 1:00,-121.5571753,38.60933179,0,30,preHatching,105923
1583646886,4/4/2012 1:00,-121.604,38.68467,0,30,preHatching,105930
1583639047,4/4/2012 2:00,-121.55733,38.6095,0,30,preHatching,105923
1583646887,4/4/2012 2:00,-121.6040026,38.68383455,0,30,preHatching,105930
1583651135,4/4/2012 2:00,-121.57983,38.757,0,30,preHatching,105936
1583639048,4/4/2012 3:00,-121.55717,38.60983,0,30,preHatching,105923
1583646888,4/4/2012 3:00,-121.61117,38.68533,0,30,preHatching,105930
1583639049,4/4/2012 16:00,-121.55767,38.60933,0,50,preHatching,105923
1583646889,4/4/2012 16:00,-121.60383,38.68283,7.20216,30,preHatching,105930
1583651136,4/4/2012 16:00,-121.5935068,38.75900453,0,30,preHatching,105936
1583639050,4/4/2012 17:00,-121.5695,38.60883,4.11552,100,preHatching,105923
1583646890,4/4/2012 17:00,-121.6045,38.68317,4.62996,330,preHatching,105930
1583639051,4/4/2012 18:00,-121.57083,38.60867,6.68772,370,preHatching,105923
1583646891,4/4/2012 18:00,-121.60383,38.68267,7.20216,50,preHatching,105930
1583651137,4/4/2012 18:00,-121.58833,38.75767,4.62996,110,preHatching,105936
1583639052,4/4/2012 19:00,-121.57583,38.605,0,190,preHatching,105923
1583646892,4/4/2012 19:00,-121.60883,38.6845,5.65884,40,preHatching,105930
1583646893,4/4/2012 20:00,-121.60767,38.68383,7.7166,40,preHatching,105930
1583651138,4/4/2012 20:00,-121.5835,38.7585,1.02888,100,preHatching,105936
1583646894,4/4/2012 21:00,-121.604,38.684,0,30,preHatching,105930
1583646895,4/4/2012 22:00,-121.6065,38.68233,8.23104,150,preHatching,105930
1583651139,4/4/2012 22:00,-121.58417,38.75683,6.68772,170,preHatching,105936
1583646896,4/4/2012 23:00,-121.60467,38.68517,0,30,preHatching,105930
1583639057,4/5/2012 0:00,-121.582,38.67317,7.7166,160,preHatching,105923
1583646897,4/5/2012 0:00,-121.6056637,38.68533311,0,60,preHatching,105930
1583651140,4/5/2012 0:00,-121.58633,38.76017,4.11552,270,preHatching,105936
1583639058,4/5/2012 1:00,-121.55683,38.60933,0,130,preHatching,105923
1583646898,4/5/2012 1:00,-121.604,38.68267,0,30,preHatching,105930
1583639059,4/5/2012 2:00,-121.55583,38.60933,0,90,preHatching,105923
1583646899,4/5/2012 2:00,-121.604,38.68283,0,30,preHatching,105930
1583651141,4/5/2012 2:00,-121.57833,38.75517,0,50,preHatching,105936
1583639060,4/5/2012 3:00,-121.55717,38.6095,0,30,preHatching,105923
1583646900,4/5/2012 3:00,-121.61167,38.69467,0,30,preHatching,105930
1583639061,4/5/2012 16:00,-121.5571729,38.60933139,1.02888,30,preHatching,105923
1583646901,4/5/2012 16:00,-121.604,38.68400267,0,30,preHatching,105930
1583651142,4/5/2012 16:00,-121.593491,38.75899277,0,30,preHatching,105936
1583639062,4/5/2012 17:00,-121.55767,38.6105,8.74548,30,preHatching,105923
1583646902,4/5/2012 17:00,-121.60417,38.6845,4.62996,30,preHatching,105930
1583639063,4/5/2012 18:00,-121.55683,38.609,0,30,preHatching,105923
1583646903,4/5/2012 18:00,-121.60267,38.68433,11.31768,30,preHatching,105930
1583651143,4/5/2012 18:00,-121.60017,38.75983,3.60108,30,preHatching,105936
1583639064,4/5/2012 19:00,-121.568,38.61083,11.83212,250,preHatching,105923
1583646904,4/5/2012 19:00,-121.6069951,38.68516225,0,40,preHatching,105930
1583639065,4/5/2012 20:00,-121.5571685,38.60932236,0,150,preHatching,105923
1583646905,4/5/2012 20:00,-121.6039887,38.68399849,0,30,preHatching,105930
1583651144,4/5/2012 20:00,-121.53717,38.75883,13.88988,170,preHatching,105936
1583639066,4/5/2012 21:00,-121.6295,38.58017,1.54332,120,preHatching,105923
1583646906,4/5/2012 21:00,-121.6040027,38.68400059,0,30,preHatching,105930
1583646907,4/5/2012 22:00,-121.6035,38.68233,4.11552,70,preHatching,105930
1583651145,4/5/2012 22:00,-121.52167,38.7535,0,30,preHatching,105936
1583646908,4/5/2012 23:00,-121.60867,38.68267,2.5722,240,preHatching,105930
1583646909,4/6/2012 0:00,-121.60417,38.68333,7.7166,70,preHatching,105930
1583651146,4/6/2012 0:00,-121.5936596,38.75900645,0,80,preHatching,105936
1583639068,4/6/2012 1:00,-121.60217,38.66467,2.5722,80,preHatching,105923
1583646910,4/6/2012 1:00,-121.60833,38.68583,0,30,preHatching,105930
1583639069,4/6/2012 2:00,-121.55417,38.60967,0,80,preHatching,105923
1583646911,4/6/2012 2:00,-121.6083235,38.6860079,0,30,preHatching,105930
1583651147,4/6/2012 2:00,-121.59233,38.75883,0,90,preHatching,105936
1583639070,4/6/2012 3:00,-121.55283,38.61017,2.5722,80,preHatching,105923
1583646912,4/6/2012 3:00,-121.60817,38.68533,0,30,preHatching,105930
1583639071,4/6/2012 16:00,-121.5575,38.60917,0,30,preHatching,105923
1583646913,4/6/2012 16:00,-121.6039899,38.6828337,0,30,preHatching,105930
1583651148,4/6/2012 16:00,-121.5936663,38.75900202,0,40,preHatching,105936
1583639072,4/6/2012 17:00,-121.55817,38.61,0,30,preHatching,105923
1583646914,4/6/2012 17:00,-121.60483,38.68467,6.17328,60,preHatching,105930
1583639073,4/6/2012 18:00,-121.55767,38.60917,4.62996,130,preHatching,105923
1583646915,4/6/2012 18:00,-121.6060065,38.68467412,5.65884,100,preHatching,105930
1583651149,4/6/2012 18:00,-121.594,38.75767,8.23104,120,preHatching,105936
1583639074,4/6/2012 19:00,-121.5576608,38.60932152,0,50,preHatching,105923
1583646916,4/6/2012 19:00,-121.60683,38.68417,3.60108,120,preHatching,105930
1583639075,4/6/2012 20:00,-121.55767,38.60967,0,50,preHatching,105923
1583646917,4/6/2012 20:00,-121.60533,38.68583,0,30,preHatching,105930
1583651150,4/6/2012 20:00,-121.58683,38.75733,7.7166,300,preHatching,105936
1583639076,4/6/2012 21:00,-121.55783,38.609,0,70,preHatching,105923
1583646918,4/6/2012 21:00,-121.6065,38.6865,5.1444,200,preHatching,105930
1583639077,4/6/2012 22:00,-121.57467,38.609,2.05776,120,preHatching,105923
1583646919,4/6/2012 22:00,-121.6079965,38.68566942,0,30,preHatching,105930
1583651151,4/6/2012 22:00,-121.5945,38.758,0,30,preHatching,105936
1583639078,4/6/2012 23:00,-121.55517,38.60983,7.7166,30,preHatching,105923
1583646920,4/6/2012 23:00,-121.60683,38.68383,7.7166,190,preHatching,105930
1583639079,4/7/2012 0:00,-121.5575,38.61,11.31768,300,preHatching,105923
1583646921,4/7/2012 0:00,-121.60483,38.68517,0.51444,30,preHatching,105930
1583651152,4/7/2012 0:00,-121.59533,38.759,0,50,preHatching,105936
1583639080,4/7/2012 1:00,-121.54983,38.61467,6.17328,110,preHatching,105923
1583646922,4/7/2012 1:00,-121.6048387,38.68516326,0,30,preHatching,105930
1583639081,4/7/2012 2:00,-121.5535,38.60917,0,120,preHatching,105923
1583646923,4/7/2012 2:00,-121.6048353,38.68517516,0,30,preHatching,105930
1583651153,4/7/2012 2:00,-121.5935,38.75917,0,30,preHatching,105936
1583639082,4/7/2012 3:00,-121.55367,38.6095,0,80,preHatching,105923
1583646924,4/7/2012 3:00,-121.608,38.68483,0,50,preHatching,105930
1583639083,4/7/2012 16:00,-121.55783,38.6105,0,70,preHatching,105923
1583646925,4/7/2012 16:00,-121.6040026,38.68382892,0,30,preHatching,105930
1583651154,4/7/2012 16:00,-121.59483,38.7585,0,30,preHatching,105936
1583639084,4/7/2012 17:00,-121.57683,38.60967,2.5722,60,preHatching,105923
1583646926,4/7/2012 17:00,-121.604,38.68367,9.77436,110,preHatching,105930
1583639085,4/7/2012 18:00,-121.568,38.61067,5.1444,30,preHatching,105923
